Your major,What is your stress level in these given situations [You have to submit an assignment in less than a day],What is your stress level in these given situations [A week before exams],What is your stress level in these given situations [Asking for an extra ketchup packet at a restaurant],What is your stress level in these given situations [Meeting a new person ],What is your stress level in these given situations [Asking for help],What is your stress level in these given situations [Confronting someone],What is your stress level in these given situations [Doing something without help],Date,Time
1.0,4,4,0,1,3,4,2,2021-11-07,16:00:12.012000
0.0,3,2,1,2,2,3,2,2021-11-07,16:53:44.872000
1.0,0,0,0,1,0,4,0,2021-11-07,17:00:48.954000
0.0,1,0,0,0,0,1,1,2021-11-07,18:19:36
1.0,2,3,1,3,1,1,0,2021-11-07,18:22:48.007000
2.0,0,0,0,0,0,0,0,2021-11-07,18:49:31.898000
3.0,2,2,0,1,0,1,1,2021-11-07,19:11:02.524000
0.0,1,1,1,1,1,1,1,2021-11-07,19:29:36.710000
2.0,3,2,1,3,2,4,2,2021-11-07,21:15:25.616000
6.0,0,1,0,0,0,0,2,2021-11-08,11:02:58.566000
2.0,0,1,0,2,2,1,1,2021-11-08,11:17:38.278000
0.0,2,3,0,2,3,3,2,2021-11-08,11:43:49.177000
0.0,1,0,0,1,2,1,0,2021-11-08,11:44:53.761000
0.0,2,2,0,1,1,2,1,2021-11-08,11:46:44.590000
0.0,2,2,0,2,2,1,1,2021-11-08,11:47:47.295000
0.0,2,1,0,2,2,2,1,2021-11-08,12:24:36.090000
0.0,1,0,0,2,1,2,0,2021-11-08,15:50:44.516000
